0,target_id,latitude,longitude,time,magnitude,geometry,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1,depth,dmass,cp,us_Mww_np1_rake,us_Mww_np2_rake,us_Mww_np1_dip,us_Mww_np2_dip,us_Mww_np1_strike1,us_Mww_np2_strike2
43,8119,8121,44.555,10.41,2008-12-23 15:24:22.470,5.4,POINT (44.555 10.41),5.4,0.0,6.907372514309816e-11,0.2869861562399301,0.7130138437600699,1.0,28.3,11.08542267087129,1.821275159104058,,,,,,
44,6639,6641,8.596,-76.855,2011-03-02 18:50:49.410,5.7,POINT (8.596 -76.855),5.4,0.0,6.907372514309816e-11,0.8403495657582931,0.1596504342417069,1.0,44.2,10.581914699940024,1.821275159104058,116.0,83.0,15.0,76.0,76.0,76.0
45,4751,4753,36.5757,86.8448,2013-11-23 23:30:42.550,5.4,POINT (36.5757 86.84480000000001),5.4,0.0,6.907372514309816e-11,0.7198461674370193,0.2801538325629806,1.0,7.18,10.92567685676872,1.821275159104058,,,,,,
46,3777,3779,-25.3727,154.2281,2015-07-29 23:41:40.420,5.5,POINT (-25.3727 154.2281),5.4,0.0,6.907372514309816e-11,0.3418927283491783,0.6581072716508217,1.0,9.0,10.659763094850272,1.821275159104058,92.0,87.0,46.0,43.0,43.0,43.0
47,11970,11972,42.946,72.764,2003-05-22 18:11:56.980,5.5,POINT (42.946 72.764),5.4,0.0,6.907372514309816e-11,0.7517168187357135,0.2482831812642865,1.0,33.0,10.984403145527086,1.821275159104058,,,,,,
48,160,162,-50.3221,-72.25,2021-10-13 07:55:29.195,5.4,POINT (-50.3221 -72.25),5.4,0.0,6.907372514309816e-11,0.2501720505654866,0.7498279494345134,1.0,10.0,11.095147714953317,1.821275159104058,,,,,,
49,1698,1700,-7.9143,32.1088,2019-03-21 09:15:40.309,5.5,POINT (-7.9143 32.1088),5.4,0.0,6.907372514309816e-11,0.889117472838892,0.1108825271611079,1.0,22.0,16.799194975992602,1.6996636368169618,-10.68,-129.87,40.36,83.11,83.11,83.11
50,12529,12531,-2.907,33.733,2002-05-18 15:15:08.800,5.5,POINT (-2.907 33.733),5.4,0.0,6.907372514309816e-11,0.1823924360060562,0.8176075639939437,1.0,10.0,17.13010554239347,1.6996636368169618,,,,,,
51,12431,12433,7.526,-36.318,2002-07-31 09:12:44.730,5.4,POINT (7.526 -36.318),5.4,0.0,6.907372514309816e-11,0.7851983973260429,0.2148016026739571,1.0,10.0,-5.740812195274072,1.591539924685873,,,,,,
52,11109,11111,15.814,95.879,2004-09-17 11:25:48.200,5.7,POINT (15.814 95.879),5.4,0.0,6.907372514309816e-11,0.829807119791693,0.1701928802083069,1.0,15.0,-5.130447945817245,1.591539924685873,,,,,,
53,11247,11249,-41.064,80.903,2004-06-28 12:57:45.950,5.6000000000000005,POINT (-41.064 80.90300000000001),5.4,0.0,6.907372514309816e-11,0.8378367918854813,0.1621632081145187,1.0,10.0,-5.3945473178101775,1.591539924685873,,,,,,
54,9358,9360,-3.388,86.775,2007-03-22 06:10:43.090,5.9,POINT (-3.388 86.77500000000001),5.4,0.0,6.907372514309816e-11,0.7523165220143714,0.2476834779856284,1.0,21.0,-5.671643125923828,1.591539924685873,,,,,,
55,8686,8688,10.671,-41.899,2008-02-08 09:38:14.100,6.9,POINT (10.671 -41.899),5.4,0.0,6.907372514309816e-11,0.5672815378387214,0.4327184621612786,1.0,9.0,-5.302227443455733,1.591539924685873,,,,,,
56,11892,11894,55.8404,-134.8827,2003-07-12 23:01:54.103,5.9,POINT (55.8404 -134.8827),5.4,0.0,6.907372514309816e-11,0.5996275722251392,0.4003724277748608,1.0,10.0,-5.34847953019205,1.591539924685873,,,,,,
57,5628,5630,44.89,11.23,2012-05-20 02:03:52.000,6.0,POINT (44.89 11.23),5.4,0.0,6.907372514309816e-11,0.8726508794238131,0.1273491205761868,1.0,6.3,-5.544246574461188,1.591539924685873,89.0,91.0,45.0,45.0,45.0,45.0
58,12561,12563,42.436,21.466,2002-04-24 10:51:50.930,5.7,POINT (42.436 21.466),5.4,0.0,6.907372514309816e-11,0.6565991880255089,0.343400811974491,1.0,10.0,-5.129024438261291,1.591539924685873,,,,,,
59,4333,4335,60.2995,-140.3366,2014-07-17 11:49:33.930,6.0,POINT (60.2995 -140.3366),5.4,0.0,6.907372514309816e-11,0.8531743326007467,0.1468256673992534,1.0,10.0,-5.479621080304309,1.591539924685873,39.0,178.0,88.0,51.0,51.0,51.0
60,5954,5956,38.721,43.508,2011-10-23 10:41:23.250,7.1000000000000005,POINT (38.721 43.508),5.4,0.0,6.907372514309816e-11,0.8739505548166961,0.1260494451833038,1.0,18.0,-5.26660368392114,1.591539924685873,,,,,,
61,5853,5855,51.842,95.911,2011-12-27 15:21:56.840,6.6000000000000005,POINT (51.842 95.911),5.4,0.0,6.907372514309816e-11,0.4922996202461505,0.5077003797538496,1.0,15.0,-5.279319393197632,1.591539924685873,,,,,,
62,5640,5642,41.549,46.789,2012-05-07 04:40:27.790,5.6000000000000005,POINT (41.549 46.789),5.4,0.0,6.907372514309816e-11,0.7996773749407721,0.2003226250592281,1.0,11.0,-5.959593919119346,1.591539924685873,64.0,97.0,16.0,76.0,76.0,76.0
63,5635,5637,34.304,34.142,2012-05-11 18:48:29.580,5.4,POINT (34.304 34.142),5.4,0.0,6.907372514309816e-11,0.5195877094903582,0.4804122905096418,1.0,16.6,-5.033227816958665,1.591539924685873,,,,,,
64,3483,3485,35.6493,-3.6818,2016-01-25 04:22:02.730,6.300000000000001,POINT (35.6493 -3.6818),5.4,0.0,6.907372514309816e-11,0.8752902902888327,0.1247097097111672,1.0,12.0,-5.136322924379783,1.591539924685873,-27.0,-172.0,84.0,62.0,62.0,62.0
65,7778,7780,59.2961,-143.6646,2009-07-25 01:43:40.782,5.6000000000000005,POINT (59.2961 -143.6646),5.4,0.0,6.907372514309816e-11,0.6643208570563838,0.3356791429436162,1.0,10.2,-5.901404314356537,1.591539924685873,,,,,,
66,4145,4147,36.5225,66.5824,2014-11-22 13:45:26.790,5.4,POINT (36.5225 66.58240000000001),5.4,0.0,6.907372514309816e-11,0.8229189167195478,0.1770810832804523,1.0,21.63,-5.732695712518957,1.591539924685873,,,,,,
67,1530,1532,35.7053333,-117.5038333,2019-07-04 17:33:49.000,6.4,POINT (35.7053333 -117.5038333),5.4,0.0,6.907372514309816e-11,0.5733052973517415,0.4266947026482585,1.0,10.5,-7.183866889659839,1.5355160178372769,,,,,,
68,2672,2674,40.8551,131.6637,2017-07-12 19:48:07.810,5.9,POINT (40.8551 131.6637),5.4,0.0,6.907372514309816e-11,0.8892043949544498,0.1107956050455501,1.0,545.0,-6.4961061491471686,1.5355160178372769,-160.01,-22.79,68.46,71.46,71.46,71.46
69,12272,12274,35.517,74.654,2002-11-01 22:09:29.280,5.4,POINT (35.517 74.654),5.4,0.0,6.907372514309816e-11,0.873843615259945,0.1261563847400549,1.0,33.0,-6.717326372770552,1.5355160178372769,,,,,,
70,12252,12254,45.003,37.768,2002-11-09 02:18:11.540,5.5,POINT (45.003 37.768),5.4,0.0,6.907372514309816e-11,0.2421250295393815,0.7578749704606185,1.0,10.0,-6.3716809271006944,1.5355160178372769,,,,,,
71,8861,8863,-67.034,111.199,2007-11-04 20:35:37.320,5.7,POINT (-67.03400000000001 111.199),5.4,0.0,6.907372514309816e-11,0.0252617084497318,0.9747382915502684,1.0,10.0,-7.215815194442662,1.5355160178372769,,,,,,
72,4814,4816,35.7595,77.4189,2013-10-20 19:45:07.850,5.4,POINT (35.7595 77.41889999999999),5.4,0.0,6.907372514309816e-11,0.8952351780274246,0.1047648219725755,1.0,96.76,-6.91567132139159,1.5355160178372769,,,,,,
73,5276,5278,31.828,50.954,2013-01-12 03:25:04.370,5.4,POINT (31.828 50.954),5.4,0.0,6.907372514309816e-11,0.6696149547385832,0.3303850452614167,1.0,4.1,-6.762645257802113,1.5355160178372769,,,,,,
74,5295,5297,42.42,41.075,2012-12-23 13:31:40.760,5.7,POINT (42.42 41.075),5.4,0.0,6.907372514309816e-11,0.765665330032616,0.2343346699673837,1.0,15.2,-6.287748379985736,1.5355160178372769,151.0,33.0,61.0,65.0,65.0,65.0
75,7043,7045,27.022,53.861,2010-07-20 19:38:09.530,5.800000000000001,POINT (27.022 53.861),5.4,0.0,6.907372514309816e-11,0.8963891832411458,0.1036108167588542,1.0,10.0,-7.279977032927693,1.5355160178372769,,,,,,
76,9419,9421,1.75,30.758,2007-02-19 02:33:43.010,5.6000000000000005,POINT (1.75 30.758),5.4,0.0,6.907372514309816e-11,0.1159684215501665,0.8840315784498336,1.0,19.0,-6.872097618699827,1.5355160178372769,,,,,,
77,5269,5271,31.056,99.546,2013-01-18 12:42:50.810,5.4,POINT (31.056 99.54600000000001),5.4,0.0,6.907372514309816e-11,0.8564170256432427,0.1435829743567573,1.0,8.0,-7.025204493510222,1.5355160178372769,178.0,38.0,52.0,89.0,89.0,89.0
78,4954,4956,16.707,40.831,2013-07-08 15:30:28.060,5.5,POINT (16.707 40.831),5.4,0.0,6.907372514309816e-11,0.2828672994886883,0.7171327005113116,1.0,10.5,-21.58252867956936,1.5196249761786784,,,,,,
